Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,137100984392,title,es,,,Crew Neck T-Shirts,Camisetas
COLLECTION,137100984392,body_html,es,,,"<style><!--
.shopify-section.section-mini-image-banner{padding:30px 0px 20px 0px!important;}
--></style>
<div style=""background: #fafaf8; width: 100%;"" class=""container-indent"">
<div style=""padding: 60px 20px; font-size: 20px; line-height: 32px;"" class=""container-fluid collection-info"">
<div class=""collection-toggle toggle-open"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 0 auto; font-size: 32px;"" class=""tt-title"">Crew Necks</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0; display: block;"">Every guy looks great in classic crew necks. They flatter the arms, chest, and back. And if you pick the right shirt, it’ll last you a lifetime. Try our <a style=""text-decoration: underline;"" href=""/collections/pocket-tees"">crews with pockets</a> or without them. Also available in <a style=""text-decoration: underline;"" href=""/collections/long-sleeve-tees"">long sleeve crews</a>.</p>
</div>
<div class=""collection-toggle"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 32px;"" class=""tt-title"">True Classic’s Crew Neck T-Shirt Features</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">All of our classic, slim fit crew neck tees are fitted and sized to flatter your body — no matter what shape or size. That’s because we know the difference between an ok shirt and a great shirt — it’s all in how a shirt sits on your arms and shoulders. Plus, we put a lot of work into making sure our shirts won’t shrink and your back won’t itch (our shirts are tagless). Our cotton crew neck t shirt are perfectly balanced with polyester for a slim fitted crew.</p>
</div>
<div class=""collection-toggle"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 32px;"" class=""tt-title"">Our Most Popular Crews</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Keep it simple with the essential <a style=""text-decoration: underline;"" href=""/products/white-crew-neck-tee"">white crew</a> or <a style=""text-decoration: underline;"" href=""/products/black-crew-neck-tee"">black crew neck shirt</a>. You can purchase <a style=""text-decoration: underline;"" href=""/products/the-classic-pack"">crew 3 packs of the basics</a> or our staple <a style=""text-decoration: underline;"" href=""/products/staple-pack"">6 pack of crews</a>, so your wardrobe has a foundation to build on.</p>
</div>
</div>
</div>
<div style=""width: 100%;"">
<div style=""padding: 60px 20px; font-size: 20px; line-height: 32px;"" class=""container-fluid"">
<p style=""text-align: center; max-width: 700px; margin: 0 auto 30px;"">Crew Neck T-Shirt FAQs</p>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">How should a crew neck fit your body?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">A crew neck should accentuate your upper body, primarily your arms and shoulders. It should fit snugly around your neck, but you shouldn’t feel constrained or choked. Use our <a style=""text-decoration: underline;"" href=""/pages/calculator"">Find My Fit calculator</a> to find the best crew neck size.</p>
</div>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">What should men avoid when buying a men’s crew neck t-shirt?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">One of our biggest pet peeves is gathering around the crew neck collar. When you sport a crew neck, it should lay flat along your chest. But if it gathers and doesn’t sit right around your collarbone … run for the hills.</p>
</div>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">How do you style a men’s crew neck t-shirt?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">In warmer months, style your crew neck with slim-fit jeans for a night out on the town. And as it cools off, reach for your favorite <a style=""text-decoration: underline;"" href=""/collections/bottoms-1"">fleece joggers</a> and layer your crew neck under a quality hoodie.</p>
</div>
</div>
</div>","<style><!--
.shopify-section.section-mini-image-banner{padding:30px 0px 20px 0px!important;}
--></style>
<div style=""background: #fafaf8; width: 100%;"" class=""container-indent"">
<div style=""padding: 60px 20px; font-size: 20px; line-height: 32px;"" class=""container-fluid collection-info"">
<div class=""collection-toggle toggle-open"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 0 auto; font-size: 32px;"" class=""tt-title"">Camisetas</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0; display: block;"">Cada hombre se ve genial con camisetas clásicas. Hacen lucir los brazos, pecho, y espalda. Y si eliges la camiseta correcta, te durará toda la vida. Prueba nuestras <a style=""text-decoration: underline;"" href=""/collections/pocket-tees"">camisetas con bolsillos</a> o sin ellos. También disponibles en <a style=""text-decoration: underline;"" href=""/collections/long-sleeve-tees"">manga larga</a>.</p>
</div>
<div class=""collection-toggle"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 32px;"" class=""tt-title"">Características de la Camiseta de True Classic</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Todas nuestras camisetas classic, slim fit están diseñadas y ajustadas para realzar tu cuerpo, sin importar su forma o tamaño. Esto es porque sabemos la diferencia entre una camiseta normal y una genial: todo está en cómo la camiseta ajusta en tus brazos y hombros. Además, trabajamos mucho para asegurar que nuestras camisetas no encogerán y no te piquen la espalda (nuestras camisetas son sin etiquetas). Nuestras camisetas de algodón están equilibradas perfectamente con poliéster para un ajuste slim.</p>
</div>
<div class=""collection-toggle"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 32px;"" class=""tt-title"">Nuestras Camisetas Más Populares</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Manténlo simple con la esencial <a style=""text-decoration: underline;"" href=""/products/white-crew-neck-tee"">camiseta blanca</a> o <a style=""text-decoration: underline;"" href=""/products/black-crew-neck-tee"">camiseta negra</a>. Puedes comprar <a style=""text-decoration: underline;"" href=""/products/the-classic-pack"">paquetes de 3 camisetas básicas</a> o nuestro básico <a style=""text-decoration: underline;"" href=""/products/staple-pack"">pack de 6 camisetas</a>, así tu guardarropa tiene una base sobre la cual construir.</p>
</div>
</div>
</div>
<div style=""width: 100%;"">
<div style=""padding: 60px 20px; font-size: 20px; line-height: 32px;"" class=""container-fluid"">
<p style=""text-align: center; max-width: 700px; margin: 0 auto 30px;"">Preguntas Frecuentes sobre la Camiseta</p>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">¿Cómo debería ajustarse una camiseta a tu cuerpo?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Una camiseta debería acentuar la parte superior de tu cuerpo, principalmente tus brazos y hombros. Debería ajustarse bien a tu cuello, pero no deberías sentirte constreñido o sofocado. Usa nuestro <a style=""text-decoration: underline;"" href=""/pages/calculator"">Calculador de Talla</a> para encontrar el mejor tamaño de camiseta para ti.</p>
</div>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">¿Qué deberían evitar los hombres al comprar una camiseta?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Una de nuestras mayores molestias es el acúmulo alrededor del cuello de la camiseta. Cuando uses una camiseta, debería quedarte plana a lo largo de tu pecho. Pero si se acumula y no queda bien alrededor de tu clavícula...huye de las colinas.</p>
</div>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">¿Cómo vistes una camiseta de hombre?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">En los meses más cálidos, combina tu camiseta con jeans ajustados para una noche en la ciudad. Y cuando se enfríe, opta por tus <a style=""text-decoration: underline;"" href=""/collections/bottoms-1"">pantalones de chándal de felpa</a> favoritos y usa tu camiseta debajo de una sudadera de buena calidad.</p>
</div>
</div>
</div>"
COLLECTION,137100984392,handle,es,,,crew-neck-tees,
COLLECTION,137100984392,meta_title,es,,,Men’s Crew Neck T-Shirts - True Classic,Camisetas de hombre - True Classic
COLLECTION,137100984392,meta_description,es,,,Shop True Classic for the best men's crew neck t-shirts. Our perfectly fitted crew neck tees are sure to be your closet's favorite new staple.,Compra en True Classic las mejores camisetas para hombre. Nuestras camisetas perfectamente ajustadas seguramente serán el nuevo básico favorito de tu armario.
COLLECTION,137101181000,title,es,,,V-Neck T-Shirts,Camisetas con cuello en V
COLLECTION,137101181000,body_html,es,,,"<div style=""background: #fafaf8; width: 100%;"" class=""container-indent"">
<div style=""padding: 60px 20px; font-size: 20px; line-height: 32px;"" class=""container-fluid collection-info"">
<div class=""collection-toggle toggle-open"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 0 auto; font-size: 32px;"" class=""tt-title"">V-Neck T-Shirts</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0; display: block;"">True Classic’s v-neck t-shirts are exactly what you’ve been looking for. They’re fitted — but not too tight. They’re made with quality — but they’re not expensive. And they’re easy to take care of — without falling apart in the washer.</p>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0; display: block;"">Our tag-free and soft-touch v-necks look and feel great all day long. They’re built to last and we’re sure your True Classic v-neck will be your favorite shirt (if it’s not already).</p>
</div>
<div class=""collection-toggle"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 32px;"" class=""tt-title"">True Classic’s V-Neck Features</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">True Classic Tees believes in affordable quality. We were sick of seeing overpriced basic shirts, and cheap v-necks that stretched out in five minutes. So we made our own.</p>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">All our v-necks are fitted in certain parts, and not in others, for the perfect fit every time. Plus, all our shirts are butter-soft! No more itchy tags or scratchy material.</p>
</div>
<div class=""collection-toggle"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 32px;"" class=""tt-title"">Our Most Popular V-Necks</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">V-necks are flattering on most men, so it’s really no surprise they are a hit. Our <a href=""/collections/v-neck-tees/products/black-v-neck-tee"" style=""text-decoration: underline;"">black v-neck t-shirt</a> is a crowd-favorite for everyday wear, and our <a href=""/collections/v-neck-tees/products/military-green-v-neck-tee"">military green v-neck</a> and <a href=""/collections/v-neck-tees/products/light-blue-v-neck-t-shirt"" style=""text-decoration: underline;"">light blue v-neck</a> are just a couple of our more popular colors.</p>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">And, of course, you can’t go wrong with our <a href=""/collections/v-neck-tees/products/all-white-v-neck-3-pack"" style=""text-decoration: underline;"">3-pack of white v-necks</a> as an undershirt or just a classic wardrobe staple.</p>
</div>
</div>
</div>
<div style=""width: 100%;"">
<div style=""padding: 60px 20px; font-size: 20px; line-height: 32px;"" class=""container-fluid"">
<p style=""text-align: center; max-width: 700px; margin: 0 auto 30px;"">V-Neck T-Shirt FAQs</p>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">What body types do v-necks look good on?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Every body type! True Classic Tees are available in different sizes and colors to make you look (and feel) your best. Our shirts are fitted around the arms, shoulders, and sides to flatter any and every body type.</p>
</div>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">What should men AVOID when buying a v-neck t-shirt?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">When you shop for v-neck tees, avoid choosing shirts with bad reviews and poor craftsmanship. Instead, look for v-necks with tons of five-star ratings and invest in shirts that were made with quality in mind.</p>
</div>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">How can you style your v-neck t-shirt?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">The v-neck t-shirt is comfortable, classic, and easy to style. Layer your favorite v-neck under a dress shirt and blazer for a stylish formal look. Or pair it with some khakis for the ultimate office casual outfit.</p>
</div>
</div>
</div>","<div style=""background: #fafaf8; width: 100%;"" class=""container-indent"">
<div style=""padding: 60px 20px; font-size: 20px; line-height: 32px;"" class=""container-fluid collection-info"">
<div class=""collection-toggle toggle-open"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 0 auto; font-size: 32px;"" class=""tt-title"">Camisetas V-Neck</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0; display: block;"">Las camisetas v-neck de True Classic son exactamente lo que has estado buscando. Están ajustadas, pero no demasiado. Están hechas con calidad, pero no son caras. Y son fáciles de cuidar, sin desmoronarse en la lavadora.</p>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0; display: block;"">Nuestras camisetas v-neck sin etiquetas y suaves al tacto lucen y se sienten geniales todo el día. Están hechas para durar y estamos seguros de que tu v-neck de True Classic será tu camiseta favorita (si ya no lo es).</p>
</div>
<div class=""collection-toggle"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 32px;"" class=""tt-title"">Características de las V-Neck de True Classic</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">True Classic Tees cree en la calidad asequible. Estábamos cansados de ver camisetas básicas con precios exorbitantes, y camisetas v-neck baratas que se estiraban en cinco minutos. Así que hicimos las nuestras.</p>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Todas nuestras v-neck están ajustadas en ciertas partes, y no en otras, para un ajuste perfecto cada vez. Además, ¡todas nuestras camisetas son suaves como la mantequilla! No más etiquetas que pican o material áspero.</p>
</div>
<div class=""collection-toggle"">
<h3 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 32px;"" class=""tt-title"">Nuestras V-Neck Más Populares</h3>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Las v-neck favorecen a la mayoría de los hombres, así que realmente no es sorpresa que sean un éxito. Nuestra <a href=""/collections/v-neck-tees/products/black-v-neck-tee"" style=""text-decoration: underline;"">camiseta v-neck negra</a> es un favorito para el uso diario, y nuestro <a href=""/collections/v-neck-tees/products/military-green-v-neck-tee"">v-neck verde militar</a> y <a href=""/collections/v-neck-tees/products/light-blue-v-neck-t-shirt"" style=""text-decoration: underline;"">v-neck azul claro</a> son solo un par de nuestros colores más populares.</p>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Y, por supuesto, no puedes equivocarte con nuestro <a href=""/collections/v-neck-tees/products/all-white-v-neck-3-pack"" style=""text-decoration: underline;"">paquete de 3 v-neck blancas</a> como una camiseta interior o simplemente un básico clásico del guardarropa.</p>
</div>
</div>
</div>
<div style=""width: 100%;"">
<div style=""padding: 60px 20px; font-size: 20px; line-height: 32px;"" class=""container-fluid"">
<p style=""text-align: center; max-width: 700px; margin: 0 auto 30px;"">Preguntas Frecuentes Sobre Camisetas V-Neck</p>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">¿A qué tipos de cuerpo les quedan bien las v-neck?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">¡A todos los tipos de cuerpo! Las camisetas de True Classic Tees están disponibles en diferentes tamaños y colores para hacerte lucir (y sentirte) lo mejor posible. Nuestras camisetas están ajustadas alrededor de los brazos, los hombros y los costados para favorecer a cualquier tipo de cuerpo.</p>
</div>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">¿Qué deben EVITAR los hombres al comprar una camiseta v-neck?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">Cuando compres camisetas v-neck, evita elegir camisetas con malas reseñas y mala mano de obra. En su lugar, busca v-necks con toneladas de calificaciones de cinco estrellas e invierte en camisetas que fueron hechas con calidad en mente.</p>
</div>
<div class=""collection-toggle"">
<h4 style=""text-align: center; text-transform: uppercase; margin: 40px auto 0; font-size: 28px;"" class=""tt-title"">¿Cómo puedes combinar tu camiseta v-neck?</h4>
<p style=""text-align: center; max-width: 800px; margin: 40px auto 0;"">La camiseta v-neck es cómoda, clásica y fácil de combinar. Puedes usar tu v-neck favorita bajo una camisa y un blazer para un look formal con estilo. O combínala con unos pantalones khaki para el outfit casual de oficina definitivo.</p>
</div>
</div>
</div>"
COLLECTION,137101181000,handle,es,,,v-neck-tees,
COLLECTION,137101181000,meta_title,es,,,Men's V-Neck T-Shirts - True Classic,Camisetas de cuello en V para hombres - True Classic
COLLECTION,137101181000,meta_description,es,,,"Shop our men's v-neck t-shirts make the perfect staple for every guy's wardrobe. Experience our soft, perfectly fitted v-neck tees today. Fast shipping.","Compra nuestras camisetas de cuello en V para hombres, son el complemento perfecto para el armario de cualquier hombre. Experimenta nuestras suaves camisetas de cuello en V perfectamente ajustadas hoy mismo. Envío rápido."
