Type,Identification,Field,Locale,Market,Status,Default content,Translated content
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.16590495662c1d5633.3d7860fa-acf5-4147-893e-9343984dc81e.text:1l5l07qcj28pu,fr,,,Washes Well,Se lave bien
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.16590495662c1d5633.636f2fb2-a661-4416-9237-9971ea8fed96.icon_image:3eo7u7vkqnfwd,fr,,,"<!--?xml version=""1.0"" encoding=""UTF-8""?--><svg id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" viewbox=""0 0 25 25""><polygon points=""11.36 25.05 3.09 16.78 12.75 7.11 13.03 7.39 3.65 16.78 11.36 24.49 20.74 15.11 21.02 15.39 11.36 25.05""></polygon><path d=""m20.14,8.21s-.01,0-.02,0l-7.28-.69c-.11-.01-.19-.11-.18-.22.01-.11.11-.19.22-.18l7.28.69c.11.01.19.11.18.22,0,.1-.1.18-.2.18Z""></path><path d=""m20.88,15.44c-.1,0-.19-.08-.2-.18l-.75-7.12c-.01-.11.07-.21.18-.22.11-.01.21.07.22.18l.75,7.12c.01.11-.07.21-.18.22,0,0-.01,0-.02,0Z""></path><path d=""m17.38,11.89c-.59,0-1.08-.48-1.08-1.08s.48-1.08,1.08-1.08,1.08.48,1.08,1.08-.48,1.08-1.08,1.08Zm0-1.76c-.38,0-.68.31-.68.68s.31.68.68.68.68-.31.68-.68-.31-.68-.68-.68Z""></path><path d=""m17.25,11.19c-1.45,0-2.59-2.45-2.59-5.58S15.8.03,17.25.03s2.59,2.45,2.59,5.58c0,.81-.08,1.61-.23,2.32-.02.11-.13.18-.23.15-.11-.02-.18-.13-.15-.23.14-.68.22-1.46.22-2.24,0-2.81-1-5.18-2.19-5.18s-2.19,2.37-2.19,5.18,1,5.18,2.19,5.18c.27,0,.54-.12.79-.37.08-.08.2-.07.28,0,.08.08.07.2,0,.28-.33.31-.7.48-1.07.48Z""></path></svg>",
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.16590495662c1d5633.636f2fb2-a661-4416-9237-9971ea8fed96.text:2m4esq49kd2gj,fr,,,Fair Priced,Prix équitable
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.fe58adf1-e9b9-4ff8-a9f4-c9d6bcad636c.template--14564719722568__fe58adf1-e9b9-4ff8-a9f4-c9d6bcad636c-1685743029513ba01d-0.button_label:2zm3b22p6p08f,fr,,,All Bottoms,Tous les bas
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.fe58adf1-e9b9-4ff8-a9f4-c9d6bcad636c.template--14564719722568__fe58adf1-e9b9-4ff8-a9f4-c9d6bcad636c-1685743029513ba01d-1.button_label:ihu8emyyzxq,fr,,,Shorts,Shorts
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.fe58adf1-e9b9-4ff8-a9f4-c9d6bcad636c.template--14564719722568__fe58adf1-e9b9-4ff8-a9f4-c9d6bcad636c-1685743029513ba01d-2.button_label:6lx0ta4dxdrh,fr,,,Joggers,Joggeurs
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.fe58adf1-e9b9-4ff8-a9f4-c9d6bcad636c.4ff109ef-c0af-4251-b8ca-cb933e4eb235.button_label:7z3s9zufdj0k,fr,,,Chinos,Chinos
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.fe58adf1-e9b9-4ff8-a9f4-c9d6bcad636c.43cdae17-ad3e-4fbe-80f5-e486b3e32682.button_label:35uoq98gujswm,fr,,,Jeans,Jeans
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.b61a96a6-01e9-4cad-976d-8f1bad502109.10422c56-e201-45a8-84f6-9544162c35eb.button_label:26qbnlcdnxlsa,fr,,,Crew Neck,T-shirt
ONLINE_STORE_THEME,'122041106504,section.collection.bottoms.json.b61a96a6-01e9-4cad-976d-8f1bad502109.10422c56-e201-45a8-84f6-9544162c35eb.icon:2atg0fwps2yi6,fr,,,"<!--?xml version=""1.0"" encoding=""UTF-8""?--><svg id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" viewbox=""0 0 25 25""><path d=""m12.5,3.37c-1.2,0-2.32-.92-3.07-2.53-.05-.1-.08-.2-.09-.3l.41-.04s.02.1.05.17c.68,1.46,1.66,2.3,2.7,2.3,1.04,0,2.02-.84,2.7-2.3.05-.1.06-.16.06-.19h.41c0,.12-.03.24-.1.37-.74,1.61-1.86,2.53-3.06,2.53Z""></path><path d=""m19.5,24.76H5.5v-13.98c-.64,1.4-.76,1.65-.78,1.68-.19.35-.49.3-.76.22-1.04-.3-3.03-1.36-3.68-1.84-.41-.31-.24-.65-.12-.88.6-1.22,1.22-2.48,1.81-3.72.53-1.13,1.05-2.04,1.87-2.81.72-.67,1.64-1.23,2.74-1.68.88-.37,1.98-.83,2.84-1.5.09-.07.22-.05.29.03.07.09.05.22-.03.29-.9.71-2.03,1.18-2.94,1.56-1.05.43-1.93.97-2.62,1.61-.78.72-1.27,1.59-1.78,2.68-.59,1.25-1.21,2.51-1.81,3.72-.13.25-.13.28,0,.37.62.46,2.57,1.5,3.54,1.77.24.07.25.04.3-.04.04-.08.61-1.31.91-1.97l.63-1.36v15.43h13.18v-15.44l.63,1.36c.3.66.87,1.89.91,1.97.05.08.06.1.3.04.95-.27,2.91-1.3,3.54-1.78.13-.1.13-.12,0-.36-.51-1.02-1.01-2.03-1.51-3.03l-.04-.09c-.54-1.1-1.11-2.24-1.92-3.18-.72-.85-1.71-1.27-2.75-1.71-.17-.07-.34-.14-.51-.22-.87-.38-1.71-.78-2.42-1.33-.09-.07-.1-.2-.03-.29.07-.09.2-.1.29-.03.67.53,1.45.89,2.33,1.28.17.07.33.14.5.22,1.04.44,2.12.9,2.9,1.82.84.98,1.42,2.14,1.97,3.27l.04.09c.5,1.01,1,2.02,1.5,3.02.12.23.29.57-.12.88-.66.49-2.65,1.55-3.68,1.84-.27.08-.56.12-.76-.23-.02-.03-.14-.28-.78-1.68v13.99Z""></path><path d=""m12.52,1.05c-.06,0-.1,0-.15,0-.59,0-2.55-.06-2.93-.53-.07-.09-.06-.22.03-.29.09-.07.22-.06.29.03.12.15,1.01.37,2.62.38,1.58.01,2.7-.18,2.87-.39.07-.09.2-.1.29-.03.09.07.1.2.03.29-.4.48-2.27.53-3.04.53Z""></path></svg>",
